siruta,link_harta,cod_LMI,cod_RAN,nume,judet,uat,localitate,punct,reper,categorie,tip,data_modif,bibliografie,y_field,x_field
54984,http://bit.ly/30znYpS,CJ-I-s-B-06925,54984.11,Necropola tumulară de la Cluj-Napoca - Pădurea Făget,Cluj,Municipiul Cluj-Napoca,Cluj-Napoca,Pădurea Făget,Necropla se află în marginea de sud-vest  oraşului Cluj.,descoperire funerară,tumul,14.6.2019,"1. DMASI, Proiectul Listei Monumentelor Istorice, 1991 [Proiect LMI] (sursa fişei de sit)
2. Lista Monumentelor Istorice, MO nr. 646 bis /16/07/2004, Ordinul ministrului culturii şi cultelor nr. 2.314/ 2004, vol. I, București, 2004, 816, 17 [Ordin MCC] (sursa fişei de sit)
3. Crişan, I. H.; Bărbulescu, M.; Chirilă, E.; Vasiliev, V.; Winkler, I., Repertoriul arheologic al județului Cluj, Muzeul de Istorie al Transilvaniei, Biblioteca Musei Napocensis V, Cluj-Napoca, 1992, 122 [Repertoriu] (sursa fişei de sit)
4. Direcția Județeană pentru Cultură Cluj; SC Arvada SRL, 2007 [Fişă de sit]
 
",46.74268,23.53902
55366,http://bit.ly/30ABRUL,CJ-I-s-B-06998,55366.07,Tumulul de la Câmpia Turzii - Izvorul Fizeş I,Cluj,Municipiul Câmpia Turzii,Câmpia Turzii,Izvorul Fizeş I (Gâlmea de pe şes),"Tumulul este situat la cca. 1 km sud-sud-vest de gară, numit Gâlmea de pe şes; la circa 250
m sud de bucla căii ferate şi la circa 200 m nord-nord-est faţă de staţia de transformare.",descoperire funerară,tumul,30.5.2019,"1. DMASI, Proiectul Listei Monumentelor Istorice, 1991 [Proiect LMI] (sursa fişei de sit)
2. Lista Monumentelor Istorice, MO nr. 646 bis /16/07/2004, Ordinul ministrului culturii şi cultelor nr. 2.314/ 2004, București, 2004, 830, 196 [Ordin MCC] (sursa fişei de sit)
3. Crişan, I. H.; Bărbulescu, M.; Chirilă, E.; Vasiliev, V.; Winkler, I., Repertoriul arheologic al județului Cluj, Muzeul de Istorie al Transilvaniei, Biblioteca Musei Napocensis V, Cluj-Napoca, 1992, 116-117 [Repertoriu] (sursa fişei de sit)
4. Ferenczi, St; Jude, Magda, Câteva consideraţii în legătură cu elementele de origine răsăriteană în Transilvania, din perioada de tranziţie între epoca neolitică şi cea a bronzului [Publicaţie]
5. Ferenczi, Uj tavlatok az erdelyi rezkor kutatasaban. Az Aranyosgyeresen foltart halomsir, Korunk, I, 1974, 127 [Publicaţie]
6. Popescu, Dorin, Săpăturile arheologice din Republica Socialistă România în anul 1967, SCIV, XIX, 4, 1968, 681 [Publicaţie]
7. Vasiliev, Valentin, Grupul scitic din Transilvania, File de Istorie, IV, 1976, 92 [Publicaţie]
 
",46.54586,23.88026
54984,http://bit.ly/2KYX31z,lipsa cod,54984.22,Situl arheologic de la Cluj - Piaţa Baba Novac,Cluj,Municipiul Cluj-Napoca,Cluj-Napoca,Piaţa Baba Novac,lipsa reper,locuire civilă,aşezare,29.5.2019,"1. Crişan, I. H.; Bărbulescu, M.; Chirilă, E.; Vasiliev, V.; Winkler, I., Repertoriul arheologic al județului Cluj, Muzeul de Istorie al Transilvaniei, Biblioteca Musei Napocensis V, Cluj-Napoca, 1992, 135 [Repertoriu] (sursa fişei de sit)
2. Direcția Județeană pentru Cultură Cluj; SC Arvada SRL, 2007 [Fişă de sit]
 
",46.76359,23.61582
55268,http://bit.ly/2KVT2KZ,CJ-I-s-A-07208,55268.01,Situl arheologic din epoca romană de la Turda - Dealul Cetăţii (Potaissa),Cluj,Municipiul Turda,Turda,Dealul Cetăţii (Dealul Viilor),"Situl se află la SV de oraş, între doi afluenţi ai Arieşului, pârâul Racilor şi pârâul Sândului.",locuire,castru şi necropolă,29.5.2019,"1. Bărbulescu, Maria, Din istoria militară a Daciei romane. Legiunea V Macedonica şi castrul de la Potaissa, Dacia, Cluj-Napoca, 1987 [Publicaţie]
2. Bărbulescu, Maria, Das Legionslager von Potaissa (Turda), Zalău, 1997 [Publicaţie]
3. Bărbulescu, Maria et alii, The Baths of the Legionary Fortress at Potaissa, Roman Frontiers Studies, 17, Zalău, 1999, 431-441 [Publicaţie]
4. DMASI, Proiectul Listei Monumentelor Istorice, 1991 [Proiect LMI] (sursa fişei de sit)
5. Bărbulescu, Mihai, Cronica Cercetărilor Arheologice din România. Campania 2001, CIMEC-Institutul de Memorie Culturală, Bucureşti, 2002, 318-319, 227, 
6. Bărbulescu, Mihai, Cronica Cercetărilor Arheologice din România. Campania 2000, CIMEC-Institutul de Memorie Culturală, Bucureşti, 2001, 257, 211, 
7. Bărbulescu, Mihai, Turda, 2004 [Fişă tehnică] (sursa fişei de sit)
8. Bărbulescu, Mihai, Potaissa - castrul Legiunii V Macedonica, 2006 [Fişă tehnică] (sursa fişei de sit)
9. Bărbulescu, Mihai, Cronica Cercetărilor Arheologice din România. Campania 1994, CIMEC-Institutul de Memorie Culturală, Bucureşti, 1995, 
10. Bărbulescu, Mihai, Cronica Cercetărilor Arheologice din România. Campania 1995, CIMEC-Institutul de Memorie Culturală, Bucureşti, 1996, 
11. Bărbulescu, Mihai, Cronica Cercetărilor Arheologice din România. Campania 1996, CIMEC-Institutul de Memorie Culturală, Bucureşti, 1997, 
12. Bărbulescu, Mihai, Cronica Cercetărilor Arheologice din România. Campania 1997, CIMEC-Institutul de Memorie Culturală, Bucureşti, 1998, 
13. Bărbulescu, Mihai, Cronica Cercetărilor Arheologice din România. Campania 1983 - 1992, CIMEC-Institutul de Memorie Culturală, Bucureşti, 1993, 
14. Bărbulescu, Mihai, Cronica Cercetărilor Arheologice din România. Campania 2004, CIMEC-Institutul de Memorie Culturală, Bucureşti, 2005, 
15. Bărbulescu, Mihai, Cronica Cercetărilor Arheologice din România. Campania 2005, CIMEC-Institutul de Memorie Culturală, Bucureşti, 2006, 
16. Bărbulescu, Mihai, Cronica Cercetărilor Arheologice din România. Campania 2006, CIMEC-Institutul de Memorie Culturală, Bucureşti, 2007, 
17. Lista Monumentelor Istorice, MO nr. 646 bis /16/07/2004, Ordinul ministrului culturii şi cultelor nr. 2.314/ 2004, vol. I, București, 2004, 862-863, 619-620 [Ordin MCC] (sursa fişei de sit)
18. Crişan, I. H.; Bărbulescu, M.; Chirilă, E.; Vasiliev, V.; Winkler, I., Repertoriul arheologic al județului Cluj, Muzeul de Istorie al Transilvaniei, Biblioteca Musei Napocensis V, Cluj-Napoca, 1992, 392-397 [Repertoriu] (sursa fişei de sit)
19. Cronica cercatărilor aheologice din România, campania 2014, Institutul Național al Patrimoniului, 2015, 144-146, 
20. Nemeti, Sorin, 56. oraș Turda, jud. Cluj - Potaissa
Punct: Dealul Cetăţii, Cronica cercatărilor aheologice din România, campania 2015, Institutul Național al Patrimoniu, 2016, 102-103, Fig. 1, fig. 2, 
21. Cronica cercetărilor arheologice din România. Campania 2011, Institutul Național al Patrimoniu, București, 2012, 153-154, 
22. Direcția Județeană de Cultură Cluj; SC Arvada SRL, 2007 [Fişă de sit]
 
",46.57044,23.77253
58909,http://bit.ly/30ABVUv,lipsa cod,58909.01,Aşezarea de la Sărata - Hurubele,Cluj,Panticeu,Sărata,Hurubele,"Aşezarea este amplsată în extravilan, la vest faţă de localitate, lângă liziera pădurii.",locuire,aşezare,22.5.2019,"1. Crișan, Ion Horațiu; Bărbulescu, Mihai; Chirilă, Simion; Vasilev, Valentic; Wikler, Iudita, Repertoriul arheologic al județului Clui, Bibliotheca Musei Napocensis V, 1992, 341 [Repertoriu]
2. Popșe, Corina; Nemeti, Sorin; Foderean, Florin-Gheorghe; Mitrea, Vasile, Studiu istoric aferent PUG-ului comunei Panticeu, județul Cluj, 2016, 39 [Publicaţie]
 
",47.05556,23.49587
58801,http://bit.ly/30ABXvB,CJ-I-s-A-07132,58801.02,Situl arheologic de la Pălatca - Dealul Coasta,Cluj,Pălatca,Pălatca,Dealul Coasta (Sub Coastă),"Situl este amplasat în capătul de sud al satului, la 200 m vest de aşezarea de la ""Sub Pădure"" (Cod RAN - 58801.01).",locuire,aşezare şi necropolă,22.5.2019,"1. DMASI, Proiectul Listei Monumentelor Istorice, 1991 [Proiect LMI] (sursa fişei de sit)
2. Maxim, Zoia, Neo-Eneoliticul din Transilvania. Date arheologice şi matematico-statistice, 1999, 721 [Publicaţie] (sursa fişei de sit)
3. Lista Monumentelor Istorice, MO nr. 646 bis /16/07/2004, Ordinul ministrului culturii şi cultelor nr. 2.314/ 2004, vol. I, București, 2004, 851, 464-466 [Ordin MCC] (sursa fişei de sit)
4. Crişan, I. H.; Bărbulescu, M.; Chirilă, E.; Vasiliev, V.; Winkler, I., Repertoriul arheologic al județului Cluj, Muzeul de Istorie al Transilvaniei, Biblioteca Musei Napocensis V, Cluj-Napoca, 1992, 303 [Repertoriu] (sursa fişei de sit)
5. Protase, Dumitru, Viața economică, Istoria Românilor, II, 2010, 174-175 [Publicaţie]
6. Rotea, Mihai; Wittenberger, Mihai, Studiu Istoric aferent PUG-ului comunei Pălatca, județul Cluj, 2013, 23 [Publicaţie]
 
",46.84216,23.98781
54984,http://bit.ly/2KV5XNk,CJ-II-m-A-07241.04,54984.220,Zidul de fortificaţie de la Cluj-Napoca - Str. Petroşeni 21-23,Cluj,Municipiul Cluj-Napoca,Cluj-Napoca,lipsa punct,lipsa reper,fortificaţie,zid de fortificaţie,22.5.2019,"1. Lista monumentelor istorice 2010, jud. Cluj, Monitorul Oficial al României, partea I, nr. 670, 2010, 807 [Baza LMI]
2. Bondor, Claudiu, Realizarea suportului topografic în vederea elaborării planului urbanisctic de detaliu pentru amplasamentul situat în municipiul Cluj-Napoca, strada Petroșani, nr. 23, 2016 [Proces verbal]
 
",46.76359,23.61582
58892,http://bit.ly/2KVT4T7,lipsa cod,58892.03,Situl arheologic de la Dârja - Dealul Vultur,Cluj,Panticeu,Dârja,Dealul Vultur,"Situl este amplasat în extravilan, în pădure, lângă LEA 110 KV, aproape de limita administrativă cu comuna Vultureni.",locuire,aşezare,22.5.2019,"1. Roska, M., Erdély régészeti repretóriuma. I. Őskor, Kolozsvár, 1942 [Publicaţie]
2. Crișan, Ioan Horațiu; Bărbulescu, Mihai; Chirilă, Eugen; Vasiliev, Valentin; Winkler, Iudita, Repertoriul arheologic al județului Cluj, Bibliiotheca Musei Napocensis V, Cluj, 1992, 188 [Repertoriu]
3. Popșe, Corina; Nemeti, Sorin; Fodorean, Florin, Corina Popșe, Sorin Nemeti, Florin-Gheorghe Fodorean, Studiu istoric și arheologic aferent Planului Urbanstic General al comunei Panticeu, jud. Cluj, 2016, 2016 [Fişă de sit]
 
",47.0164,23.58926
58892,http://bit.ly/30AC1eP,lipsa cod,58892.01,Aşezarea de la Dârja - Casa Judeţului,Cluj,Panticeu,Dârja,Casa Judeţului,Aşezarea este amplasată în intravilanul localităţii.,locuire civilă,aşezare,22.5.2019,"1. Maxim, Zoia, Neo-Eneoliticul din Transilvania. Date arheologice şi matematico-statistice, 1999, 360 [Publicaţie] (sursa fişei de sit)
2. Crişan, I. H.; Bărbulescu, M.; Chirilă, E.; Vasiliev, V.; Winkler, I., Repertoriul arheologic al județului Cluj, Muzeul de Istorie al Transilvaniei, Biblioteca Musei Napocensis V, Cluj-Napoca, 1992, 188 [Repertoriu] (sursa fişei de sit)
3. Popșe, Corina; Nemeti, Sorin; Foderean, Florin-Gheorghe, Studiu istoric aferent PUG-ului comunei Panticeu, jud. Cluj, Cluj, 2016 [Publicaţie]
 
",47.0164,23.58926
58883,http://bit.ly/30AC2PV,lipsa cod,58883.06,Aşezarea de la Cubleşu Someşan - Groapa Fântânii de Piatră,Cluj,Panticeu,Cubleşu Someşan,Groapa Fântânii de Piatră,Aşezarea este ampalsată intravilan.,locuire,aşezare,22.5.2019,"1. Roska, Erdély régészeti repretóriuma. I. Őskor, Kolozsvár., 1942, 153 [Publicaţie]
2. Crișan, Ioan Horațiu; Bărbulescu, Mihai; Chirilă, Eugen; Vasiliev, Valentin; Winkler, Iudita, Repertoriul arheologic al județului Cluj, Bibliotheca Musei Napocensis V, 1992, 170 [Repertoriu]
3. Popșe, Corina; Nemeti, Sorin; Foderean, Florin-Gheorghe, Studiu istoric și arheologic aferent Planului Urbanstic General al comunei Panticeu, jud. Cluj, Cluj, 2016 [Publicaţie]
 
",47.05243,23.62492
